ZIP CODE ,AREA NAME,IS LOS ANGELES,Early Childhood Education,Health Education,Substance Abuse Programs,Mental Health Programs,Adult Eduction Programs,Public Child Care,Housing Community Investment,Museum and Aquarium,Number Of Highschools,Number Of Students,Number Of Dropouts,Percent Drop Out,Health Clinics,Public Health Programs,Mental Health Centers,Safe Havens,Domestic Violence Services,Mental Health Counceling,LA City Events,Unemployment Rate,Teen Pregnancy Rate,Animal Parks,Aquatic,Fitness Center,Nature_Trails,Parks_Recreation,Senior_Centers,Property.Crime,Violent.Crime,Other,Property.Crime.STD,Violent.Crime.STD,Other.Crime.STD,Housing Permits,Commercial Permits,Other Permits
90001,Florence/South Central  ,1,4,1,1,1,1,1,0,0,0,0,0,,0,0,2,1,1,3,1,12.3,0.045491803,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,431,173,4
90002,Watts  ,1,1,0,0,0,1,0,0,0,0,0,0,,3,0,2,1,1,2,66,13.4,0.038686131,0,0,0,1,3,1,465,348,99,-0.17521167,0.032854369,0.149575046,1034,201,8
90003,South Central  ,1,4,1,2,1,2,2,0,0,0,0,0,,2,2,5,1,2,5,50,14,0.047051635,0,2,3,0,7,1,3020,2365,488,1.517548319,2.737987784,2.551903311,2067,416,15
90004,Hancock Park  ,1,0,1,0,0,0,0,0,0,0,0,0,,2,1,5,1,0,0,21,8.8,0.013437058,0,0,0,0,2,0,519,185,26,-0.139435138,-0.185755818,-0.301247482,2874,519,40
90005,Koreatown  ,1,10,2,0,2,3,1,0,0,0,0,0,,1,6,11,0,1,4,48,10,0.010804322,0,0,0,0,0,0,123,59,8,-0.401796373,-0.354742833,-0.412409201,1023,450,76
90006,Pico Heights  ,1,3,0,0,0,0,0,0,0,6,2224,340.17,0.152954137,1,1,0,1,0,2,14,11.6,0.016426083,0,0,0,0,6,0,1150,859,126,0.278620265,0.718190599,0.316317624,1276,650,70
90007,South Central  ,1,0,0,0,0,0,0,0,1,0,0,0,,2,6,6,1,1,5,18,13,0.009509876,0,0,2,0,5,0,1040,474,98,0.205742144,0.201841384,0.143399395,1224,1109,111
90008,Baldwin Hills/Crenshaw /Leimert Park  ,1,0,0,0,0,0,0,0,0,1,762,53.34,0.07,0,1,11,1,0,7,44,11,0.046777547,0,0,1,1,6,1,2703,1854,302,1.307526825,2.052651555,1.403232212,1766,450,24
90009,Airport Worldway  ,1,0,0,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,11,0.046777547,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90010,Wilshire Blvd  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,4,5,1,2,4,1,8.4,0,0,0,1,0,2,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,161,615,62
90011,South Central  ,1,0,1,0,0,2,0,0,1,4,901,0,0,1,1,7,2,0,8,291,8.7,0.024243639,0,2,6,0,24,1,475,347,42,-0.168586386,0.031513202,-0.202437065,2607,562,20
90012,Civic Center /Chinatown  ,1,0,0,0,0,0,0,0,3,2,630,228.57,0.362809524,4,3,3,2,2,3,101,6.7,0.035874439,0,0,0,2,13,0,7335,4254,793,4.376358241,5.271451851,4.435476886,1021,1942,204
90013,Downtown Los Angeles  ,1,0,0,0,0,0,0,0,1,0,0,0,,3,1,15,0,1,3,4,14.2,0,0,0,0,0,0,0,803,285,46,0.04872292,-0.051639139,-0.177734461,125,1847,71
90014,Los Angeles ,1,1,2,2,0,1,0,0,0,0,0,0,,0,0,2,1,1,0,0,10.8,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,276,901,72
90015,Downtown Los Angeles  ,1,0,0,0,0,0,0,0,0,2,1690,868.4,0.513846154,5,3,8,2,1,6,173,9.2,0.015132409,0,0,1,0,2,0,3302,1780,267,1.70438132,1.953405212,1.187084425,588,1952,298
