,Row.names,Health,Community.Wellness,ZIP.CODES,AREA.NAME,IS.LOS.ANGELES,Early.Childhood.Education,Health.Education,Substance.Abuse.Programs,Mental.Health.Programs,Adult.Eduction.Programs,Public.Child.Care,Housing.Community.Investment,Museum.and.Aquarium,Number.Of.Highschools,Number.Of.Students,Number.Of.Dropouts,Percent.Drop.Out,Health.Clinics,Public.Health.Programs,Mental.Health.Centers,Safe.Havens,Domestic.Violence.Services,Mental.Health.Counceling,LA.City.Events,Unemployment.Rate,Teen.Pregnancy.Rate,Animal.Parks,Aquatic,Fitness.Center,Nature_Trails,Parks_Recreation,Senior_Centers,Property.Crime,Violent.Crime,Other,Property.Crime.STD,Violent.Crime.STD,Other.Crime.STD,Housing.Permits,Commercial.Permits,Other.Permits
1,1,-0.173419957,0.345290608,90006,Pico Heights  ,1,3,0,0,0,0,0,0,0,6,2224,340.17,0.152954137,1,1,0,1,0,2,14,11.6,0.016426083,0,0,0,0,6,0,1150,859,126,0.278620265,0.718190599,0.316317624,1276,650,70
2,10,0.507250745,-0.037632327,90023,East Los Angeles  ,1,0,0,0,0,0,0,0,0,7,11034,2713.57,0.245928041,2,2,0,3,2,2,42,10.4,0.01980198,0,1,1,0,6,1,1455,703,159,0.480691418,0.508968579,0.52011411,699,582,20
3,11,-0.479194036,-0.016716147,90024,Westwood  ,1,0,0,0,0,0,0,0,1,1,2047,675.51,0.33,0,1,3,2,0,3,62,9.9,0,0,0,0,0,4,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,3104,1112,118
4,12,2.885622048,-0.47493591,90026,Echo Park/Silverlake  ,1,4,0,3,0,1,2,0,0,1,1377,302.94,0.22,5,4,9,1,1,3,153,9.4,0.027244582,1,2,0,0,14,0,612,186,45,-0.077819999,-0.184414651,-0.183910112,4267,677,69
5,13,0.316253387,0.228579757,90031,Montecito Heights  ,1,0,0,0,0,0,0,0,0,3,5349,1787.16,0.334111049,2,1,4,1,0,1,112,9.9,0.009174312,0,2,1,0,17,3,2529,1300,363,1.192246889,1.309645153,1.779946927,1378,319,11
6,14,-1.071441754,-0.064115742,90032,El Sereno /Monterey Hills  ,1,0,0,0,0,1,0,0,0,14,19795,5966.73,0.301426118,0,0,2,2,0,1,4,12.6,0.011483254,0,2,2,3,11,1,0,0,0,-0.483287362,-0.433871674,-0.46181441,1950,209,24
7,15,2.900744899,-0.298514588,90033,Boyle Heights  ,1,0,0,0,0,0,0,0,0,3,1791,71.75,0.040061418,5,2,16,2,3,7,43,9.6,0.031602709,0,3,3,0,20,1,385,252,74,-0.228213939,-0.095897643,-0.004816231,1066,789,80
8,16,-0.94624609,0.064208058,90034,Palms  ,1,0,0,0,0,0,0,0,0,2,2103,429.99,0.20446505,0,0,2,3,0,2,4,6.3,0.006006006,0,0,0,0,1,0,1148,433,103,0.277295208,0.146853546,0.17427765,2856,628,60
9,17,2.975057664,1.516557879,90037,South Central  ,1,0,0,0,0,0,0,0,2,1,703,428.83,0.61,6,2,5,1,1,3,99,11.2,0.016260163,0,1,2,1,6,1,6132,4096,758,3.579336611,5.059547498,4.219329099,1916,438,108
10,18,-0.148716922,-0.057413502,90038,Hollywood  ,1,0,0,0,0,0,0,0,0,1,1808,867.84,0.48,1,1,5,0,0,1,25,9.7,0,0,0,1,0,4,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,1311,862,58
11,19,0.060691256,-0.046530275,90041,Eagle Rock  ,1,0,0,0,0,0,0,0,0,5,2876,873.07,0.303570932,2,1,2,2,0,0,19,7.9,0.003439381,0,1,1,0,10,0,120,38,20,-0.403783958,-0.382907336,-0.338301389,1976,508,33
12,2,0.419775889,0.634540019,90008,Baldwin Hills/Crenshaw /Leimert Park  ,1,0,0,0,0,0,0,0,0,1,762,53.34,0.07,0,1,11,1,0,7,44,11,0.046777547,0,0,1,1,6,1,2703,1854,302,1.307526825,2.052651555,1.403232212,1766,450,24
13,20,-0.030013458,0.846039031,90044,Athens ,1,4,1,1,0,3,4,1,0,2,178,0,0,1,0,6,1,2,3,46,11.7,0.054138322,0,1,3,0,10,0,3201,2229,400,1.637465954,2.555589101,2.008446017,2674,321,22
